T [K]	C_p [J/m^3/K]
244.2	1331603.6418555076
244.3	1331626.5369856828
244.4	1331649.4045793249
244.5	1331672.2446803441
244.6	1331695.057332565
244.7	1331717.842579724
244.8	1331740.6004654723
244.9	1331763.3310333742
245.0	1331786.0343269072
245.1	1331808.7103894635
245.2	1331831.3592643493
245.3	1331853.9809947845
245.4	1331876.5756239046
245.5	1331899.1431947607
245.6	1331921.6837503163
245.7	1331944.1973334518
245.8	1331966.683986964
245.9	1331989.1437535626
246.0	1332011.576675875
246.1	1332033.982796445
246.2	1332056.362157731
246.3	1332078.7148021087
246.4	1332101.0407718709
246.5	1332123.340109225
246.6	1332145.612856299
246.7	1332167.8590551352
246.8	1332190.078747694
246.9	1332212.271975853
247.0	1332234.4387814093
247.1	1332256.5792060755
247.2	1332278.693291484
247.3	1332300.7810791854
247.4	1332322.8426106477
247.5	1332344.87792726
247.6	1332366.887070327
247.7	1332388.870081075
247.8	1332410.8270006487
247.9	1332432.7578701132
248.0	1332454.6627304512
248.1	1332476.5416225672
248.2	1332498.3945872851
248.3	1332520.2216653486
248.4	1332542.0228974223
248.5	1332563.7983240918
248.6	1332585.5479858625
248.7	1332607.2719231613
248.8	1332628.9701763357
248.9	1332650.6427856565
249.0	1332672.289791313
249.1	1332693.9112334182
249.2	1332715.507152007
249.3	1332737.0775870355
249.4	1332758.6225783823
249.5	1332780.1421658485
249.6	1332801.636389158
249.7	1332823.105287958
249.8	1332844.5489018168
249.9	1332865.9672702276
250.0	1332887.360432607
250.1	1332908.7284282928
250.2	1332930.07129655
250.3	1332951.3890765645
250.4	1332972.6818074475
250.5	1332993.949528234
250.6	1333015.1922778843
250.7	1333036.410095282
250.8	1333057.6030192357
250.9	1333078.7710884798
251.0	1333099.9143416728
251.1	1333121.032817399
251.2	1333142.1265541683
251.3	1333163.195590414
251.4	1333184.2399644996
251.5	1333205.2597147094
251.6	1333226.2548792583
251.7	1333247.2254962844
251.8	1333268.1716038536
251.9	1333289.0932399577
252.0	1333309.9904425165
252.1	1333330.863249376
252.2	1333351.7116983088
252.3	1333372.535827015
252.4	1333393.3356731236
252.5	1333414.1112741884
252.6	1333434.8626676942
252.7	1333455.5898910516
252.8	1333476.2929815997
252.9	1333496.9719766062
253.0	1333517.6269132674
253.1	1333538.257828708
253.2	1333558.8647599812
253.3	1333579.447744069
253.4	1333600.0068178836
253.5	1333620.5420182655
253.6	1333641.0533819846
253.7	1333661.5409457409
253.8	1333682.0047461635
253.9	1333702.444819813
254.0	1333722.8612031771
254.1	1333743.2539326767
254.2	1333763.6230446617
254.3	1333783.9685754124
254.4	1333804.2905611405
254.5	1333824.5890379879
254.6	1333844.8640420279
254.7	1333865.1156092652
254.8	1333885.3437756347
254.9	1333905.548577004
255.0	1333925.7300491726
255.1	1333945.8882278698
255.2	1333966.0231487597
255.3	1333986.1348474363
255.4	1334006.223359426
255.5	1334026.2887201891
255.6	1334046.3309651173
255.7	1334066.3501295352
255.8	1334086.3462487
255.9	1334106.3193578036
256.0	1334126.2694919684
256.1	1334146.1966862518
256.2	1334166.1009756445
256.3	1334185.9823950713
256.4	1334205.8409793894
256.5	1334225.6767633911
256.6	1334245.489781802
256.7	1334265.2800692834
256.8	1334285.047660429
256.9	1334304.7925897678
257.0	1334324.514891765
257.1	1334344.2146008178
257.2	1334363.8917512605
257.3	1334383.546377362
257.4	1334403.178513326
257.5	1334422.7881932922
257.6	1334442.3754513355
257.7	1334461.9403214662
257.8	1334481.4828376316
257.9	1334501.003033714
258.0	1334520.5009435317
258.1	1334539.9766008395
258.2	1334559.43003933
258.3	1334578.86129263
258.4	1334598.2703943043
258.5	1334617.6573778547
258.6	1334637.0222767193
258.7	1334656.3651242743
258.8	1334675.6859538325
258.9	1334694.9847986435
259.0	1334714.261691896
259.1	1334733.5166667148
259.2	1334752.7497561642
259.3	1334771.9609932448
259.4	1334791.1504108966
259.5	1334810.3180419973
259.6	1334829.4639193625
259.7	1334848.5880757472
259.8	1334867.6905438448
259.9	1334886.7713562876
260.0	1334905.8305456461
260.1	1334924.8681444312
260.2	1334943.8841850914
260.3	1334962.8787000154
260.4	1334981.8517215324
260.5	1335000.8032819098
260.6	1335019.7334133545
260.7	1335038.6421480142
260.8	1335057.5295179773
260.9	1335076.3955552697
261.0	1335095.2402918607
261.1	1335114.063759658
261.2	1335132.8659905111
261.3	1335151.6470162084
261.4	1335170.4068684813
261.5	1335189.145579
261.6	1335207.8631793787
261.7	1335226.5597011694
261.8	1335245.2351758676
261.9	1335263.88963491
262.0	1335282.523109674
262.1	1335301.13563148
262.2	1335319.7272315891
262.3	1335338.2979412053
262.4	1335356.8477914738
262.5	1335375.376813483
262.6	1335393.8850382632
262.7	1335412.3724967872
262.8	1335430.83921997
262.9	1335449.2852386707
263.0	1335467.7105836899
263.1	1335486.1152857712
263.2	1335504.499375603
263.3	1335522.8628838146
263.4	1335541.2058409806
263.5	1335559.5282776186
263.6	1335577.8302241887
263.7	1335596.1117110965
263.8	1335614.3727686906
263.9	1335632.6134272632
264.0	1335650.8337170514
264.1	1335669.033668236
264.2	1335687.2133109432
264.3	1335705.3726752417
264.4	1335723.5117911468
264.5	1335741.630688618
264.6	1335759.7293975588
264.7	1335777.807947819
264.8	1335795.8663691923
264.9	1335813.904691418
265.0	1335831.9229441814
265.1	1335849.9211571126
265.2	1335867.8993597876
265.3	1335885.857581728
265.4	1335903.7958524006
265.5	1335921.714201219
265.6	1335939.6126575428
265.7	1335957.4912506775
265.8	1335975.350009875
265.9	1335993.1889643332
266.0	1336011.0081431968
266.1	1336028.8075755585
266.2	1336046.587290455
266.3	1336064.3473168723
266.4	1336082.0876837422
266.5	1336099.8084199436
266.6	1336117.5095543033
266.7	1336135.1911155952
266.8	1336152.85313254
266.9	1336170.4956338068
267.0	1336188.1186480122
267.1	1336205.7222037206
267.2	1336223.306329444
267.3	1336240.8710536424
267.4	1336258.416404724
267.5	1336275.9424110462
267.6	1336293.4491009137
267.7	1336310.9365025798
267.8	1336328.404644247
267.9	1336345.853554065
268.0	1336363.2832601343
268.1	1336380.6937905035
268.2	1336398.0851731698
268.3	1336415.4574360794
268.4	1336432.8106071292
268.5	1336450.1447141638
268.6	1336467.4597849783
268.7	1336484.7558473172
268.8	1336502.0329288743
268.9	1336519.2910572933
269.0	1336536.530260168
269.1	1336553.7505650427
269.2	1336570.951999411
269.3	1336588.1345907168
269.4	1336605.2983663555
